Date,Symbol,Strike,Open,High,Low,Close,Volume
2025-06-09,O:AAPL260220C00230000,230,12.0,12.0,12.0,12.0,1
2025-06-10,O:AAPL260220C00230000,230,10.75,10.75,10.3,10.65,12
2025-06-11,O:AAPL260220C00230000,230,10.6,10.6,9.4,9.4,26
2025-06-12,O:AAPL260220C00230000,230,9.0,9.42,8.85,9.42,9
2025-06-13,O:AAPL260220C00230000,230,8.88,8.88,8.75,8.75,3
2025-06-16,O:AAPL260220C00230000,230,8.8,8.8,8.38,8.5,35
2025-06-17,O:AAPL260220C00230000,230,8.5,8.7,8.0,8.0,10
2025-06-18,O:AAPL260220C00230000,230,8.05,8.2,7.95,7.95,3
2025-06-20,O:AAPL260220C00230000,230,8.5,9.05,8.5,9.05,56
2025-06-23,O:AAPL260220C00230000,230,8.8,8.95,8.8,8.95,5
2025-06-24,O:AAPL260220C00230000,230,8.5,9.0,8.5,8.55,45
2025-06-25,O:AAPL260220C00230000,230,9.21,9.21,9.21,9.21,1
2025-06-26,O:AAPL260220C00230000,230,8.15,8.42,8.1,8.42,14
2025-06-27,O:AAPL260220C00230000,230,8.72,8.9,8.4,8.4,50
2025-06-30,O:AAPL260220C00230000,230,8.5,9.87,8.05,9.87,40
2025-07-01,O:AAPL260220C00230000,230,10.75,11.7,10.55,10.92,68
2025-07-02,O:AAPL260220C00230000,230,11.7,13.15,11.7,12.75,37
2025-07-03,O:AAPL260220C00230000,230,13.2,13.38,13.2,13.38,5
2025-07-07,O:AAPL260220C00230000,230,13.7,13.7,11.4,11.53,37
2025-07-08,O:AAPL260220C00230000,230,11.2,11.75,11.2,11.35,55
2025-07-09,O:AAPL260220C00230000,230,11.21,11.6,10.4,11.6,51
2025-07-10,O:AAPL260220C00230000,230,12.15,12.35,12.15,12.35,27
2025-07-11,O:AAPL260220C00230000,230,11.27,11.85,11.15,11.5,29
2025-07-14,O:AAPL260220C00230000,230,10.85,10.85,10.15,10.5,21
2025-07-15,O:AAPL260220C00230000,230,10.85,11.6,10.75,11.0,62
2025-07-16,O:AAPL260220C00230000,230,11.15,11.9,10.8,10.8,49
2025-07-17,O:AAPL260220C00230000,230,10.7,11.2,10.7,11.05,87
2025-07-18,O:AAPL260220C00230000,230,10.8,11.1,10.73,10.9,48
2025-07-21,O:AAPL260220C00230000,230,11.36,12.3,11.1,11.1,26
2025-07-22,O:AAPL260220C00230000,230,11.4,12.0,11.4,12.0,204
2025-07-23,O:AAPL260220C00230000,230,11.35,11.98,11.25,11.8,126
2025-07-24,O:AAPL260220C00230000,230,11.8,12.05,11.8,11.9,11
2025-07-25,O:AAPL260220C00230000,230,11.65,11.7,11.2,11.2,5
2025-07-28,O:AAPL260220C00230000,230,11.3,11.31,10.81,10.81,12
2025-07-29,O:AAPL260220C00230000,230,10.7,10.7,10.35,10.4,7
2025-07-30,O:AAPL260220C00230000,230,10.3,10.3,8.99,9.1,11
2025-07-31,O:AAPL260220C00230000,230,9.23,9.65,9.23,9.35,54
2025-08-01,O:AAPL260220C00230000,230,10.0,10.0,6.77,6.88,151
2025-08-04,O:AAPL260220C00230000,230,7.55,8.06,6.55,6.87,136
2025-08-05,O:AAPL260220C00230000,230,6.8,7.4,6.8,7.01,50
2025-08-06,O:AAPL260220C00230000,230,8.1,11.25,8.1,10.25,147
2025-08-07,O:AAPL260220C00230000,230,12.8,14.15,12.23,13.65,5124
2025-08-08,O:AAPL260220C00230000,230,13.89,19.65,13.2,18.75,955
2025-08-11,O:AAPL260220C00230000,230,18.14,18.89,16.08,17.8,576
2025-08-12,O:AAPL260220C00230000,230,18.6,19.22,17.46,18.71,311
2025-08-13,O:AAPL260220C00230000,230,19.7,21.5,19.3,21.2,590
2025-08-14,O:AAPL260220C00230000,230,21.34,22.1,19.4,20.65,102
2025-08-15,O:AAPL260220C00230000,230,20.7,21.0,19.0,19.57,277
2025-08-18,O:AAPL260220C00230000,230,19.63,20.22,18.58,19.2,219
2025-08-19,O:AAPL260220C00230000,230,19.1,20.07,18.24,18.4,81
2025-08-20,O:AAPL260220C00230000,230,18.45,18.45,16.2,16.4,54
2025-08-21,O:AAPL260220C00230000,230,15.9,15.9,15.22,15.6,40
2025-08-22,O:AAPL260220C00230000,230,16.37,17.5,16.06,16.71,72
2025-08-25,O:AAPL260220C00230000,230,15.9,17.57,15.9,16.8,78
2025-08-26,O:AAPL260220C00230000,230,16.1,17.65,15.25,17.65,182
2025-08-27,O:AAPL260220C00230000,230,17.4,18.49,17.4,18.45,56
2025-08-28,O:AAPL260220C00230000,230,18.55,20.0,17.8,20.0,131
2025-08-29,O:AAPL260220C00230000,230,19.43,19.9,18.9,19.38,67
2025-09-02,O:AAPL260220C00230000,230,17.95,18.41,16.38,17.81,127
2025-09-03,O:AAPL260220C00230000,230,22.25,22.76,20.65,22.62,368
2025-09-04,O:AAPL260220C00230000,230,22.7,24.0,21.9,24.0,56
2025-09-05,O:AAPL260220C00230000,230,23.77,24.64,23.1,23.7,44
2025-09-08,O:AAPL260220C00230000,230,23.4,23.7,21.5,22.15,61
2025-09-09,O:AAPL260220C00230000,230,22.45,22.6,19.58,20.1,279
2025-09-10,O:AAPL260220C00230000,230,19.05,19.05,15.35,15.75,1136
