Date,AAPL,NVDA,SPY
2024-12-18,248.05,128.91,586.28
2024-12-19,249.79,130.68,586.1
2024-12-20,254.49,134.7,591.15
2024-12-23,255.27,139.67,594.69
2024-12-24,258.2,140.22,601.3
2024-12-26,259.02,139.93,601.34
2024-12-27,255.59,137.01,595.01
2024-12-30,252.2,137.49,588.22
2024-12-31,250.42,134.29,586.08
2025-01-02,243.85,138.31,584.64
2025-01-03,243.36,144.47,591.95
2025-01-06,245.0,149.43,595.36
2025-01-07,242.21,140.14,588.63
2025-01-08,242.7,140.11,589.49
2025-01-10,236.85,135.91,580.49
2025-01-13,234.4,133.23,581.39
2025-01-14,233.28,131.76,582.19
2025-01-15,237.87,136.24,592.78
2025-01-16,228.26,133.57,591.64
2025-01-17,229.98,137.71,597.58
2025-01-21,222.64,140.83,603.05
2025-01-22,223.83,147.07,606.44
2025-01-23,223.66,147.22,609.75
2025-01-24,222.78,142.62,607.97
2025-01-27,229.86,118.42,599.37
2025-01-28,238.26,128.99,604.52
2025-01-29,239.36,123.7,601.81
2025-01-30,237.59,124.65,605.04
2025-01-31,236.0,120.07,601.82
2025-02-03,228.01,116.66,597.77
2025-02-04,232.8,118.65,601.78
2025-02-05,232.47,124.83,604.22
2025-02-06,233.22,128.68,606.32
2025-02-07,227.63,129.84,600.77
2025-02-10,227.65,133.57,604.85
2025-02-11,232.62,132.8,605.31
2025-02-12,236.87,131.14,603.36
2025-02-13,241.53,135.29,609.73
2025-02-14,244.6,138.85,609.7
2025-02-18,244.47,139.4,611.49
2025-02-19,244.87,139.23,612.93
2025-02-20,245.83,140.11,610.38
2025-02-21,245.55,134.43,599.94
2025-02-24,247.1,130.28,597.21
2025-02-25,247.04,126.63,594.24
2025-02-26,240.36,131.28,594.54
2025-02-27,237.3,120.15,585.05
2025-02-28,241.84,124.92,594.18
2025-03-03,238.03,114.06,583.77
2025-03-04,235.93,115.99,576.86
2025-03-05,235.74,117.3,583.06
2025-03-06,235.33,110.57,572.71
2025-03-07,239.07,112.69,575.92
2025-03-10,227.48,106.98,560.58
2025-03-11,220.84,108.76,555.92
2025-03-12,216.98,115.74,558.87
2025-03-13,209.68,115.58,551.42
2025-03-14,213.49,121.67,562.81
2025-03-17,214.0,119.53,567.15
2025-03-18,212.69,115.43,561.02
2025-03-19,215.24,117.52,567.13
2025-03-20,214.1,118.53,565.49
2025-03-21,218.27,117.7,563.98
2025-03-24,220.73,121.41,574.08
2025-03-25,223.75,120.69,575.46
2025-03-26,221.53,113.76,568.59
2025-03-27,223.85,111.43,567.08
2025-03-28,217.9,109.67,555.66
2025-03-31,222.13,108.38,559.39
2025-04-01,223.19,110.15,560.97
2025-04-02,223.89,110.42,564.52
2025-04-03,203.19,101.8,536.7
2025-04-04,188.38,94.31,505.28
2025-04-07,181.46,97.64,504.38
2025-04-08,172.42,96.3,496.48
2025-04-09,198.85,114.33,548.62
2025-04-10,190.42,107.57,524.58
2025-04-11,198.15,110.93,533.94
2025-04-14,202.52,110.71,539.12
2025-04-15,202.14,112.2,537.61
2025-04-16,194.27,104.49,525.66
2025-04-17,196.98,101.49,526.41
2025-04-21,193.16,96.91,513.88
2025-04-22,199.74,98.89,527.25
2025-04-23,204.6,102.71,535.42
2025-04-24,208.37,106.43,546.69
2025-04-25,209.28,111.01,550.64
2025-04-28,210.14,108.73,550.85
2025-04-29,211.21,109.02,554.32
2025-04-30,212.5,108.92,554.54
2025-05-01,213.32,111.61,558.47
2025-05-02,205.35,114.5,566.76
2025-05-05,198.89,113.82,563.51
2025-05-06,198.51,113.54,558.8
2025-05-07,196.25,117.06,561.15
2025-05-08,197.49,117.37,565.06
2025-05-09,198.53,116.65,564.34
2025-05-12,210.79,123.0,582.99
2025-05-13,212.93,129.93,586.84
2025-05-14,212.33,135.34,587.59
2025-05-15,211.45,134.83,590.46
2025-05-16,211.26,135.4,594.2
2025-05-19,208.78,135.57,594.85
2025-05-20,206.86,134.38,592.85
2025-05-21,202.09,131.8,582.86
2025-05-22,201.36,132.83,583.09
2025-05-23,195.27,131.29,579.11
2025-05-27,200.21,135.5,591.15
2025-05-28,200.42,134.81,587.73
2025-05-29,199.95,139.19,590.05
2025-05-30,200.85,135.13,589.39
2025-06-02,201.7,137.38,592.71
2025-06-03,203.27,141.22,596.09
2025-06-04,202.82,141.92,595.93
2025-06-05,200.63,139.99,593.05
2025-06-06,203.92,141.72,599.14
2025-06-09,201.45,142.63,599.68
2025-06-10,202.67,143.96,603.08
2025-06-11,198.78,142.83,601.36
2025-06-12,199.2,145.0,603.75
2025-06-13,196.45,141.97,597.0
2025-06-16,198.42,144.69,602.68
2025-06-17,195.64,144.12,597.53
2025-06-18,196.58,145.48,597.44
2025-06-20,201.0,143.85,594.28
2025-06-23,201.5,144.17,600.15
2025-06-24,200.3,147.9,606.78
2025-06-25,201.56,154.31,607.12
2025-06-26,201.0,155.02,611.87
2025-06-27,201.08,157.75,614.91
2025-06-30,205.17,157.99,617.85
2025-07-01,207.82,153.3,617.65
2025-07-02,212.44,157.25,620.45
2025-07-03,213.55,159.34,625.34
2025-07-07,209.95,158.24,620.68
2025-07-08,210.01,160.0,620.34
2025-07-09,211.14,162.88,624.06
2025-07-10,212.41,164.1,625.82
2025-07-11,211.16,164.92,623.62
2025-07-14,208.62,164.07,624.81
2025-07-15,209.11,170.7,622.14
2025-07-16,210.16,171.37,624.22
2025-07-17,210.02,173.0,628.04
2025-07-18,211.18,172.41,627.58
2025-07-21,212.48,171.38,628.77
2025-07-22,214.4,167.03,628.86
2025-07-23,214.15,170.78,634.21
2025-07-24,213.76,173.74,634.42
2025-07-25,213.88,173.5,637.1
2025-07-28,214.05,176.75,636.94
2025-07-29,211.27,175.51,635.26
